run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,auc,auc_q,vl_acc_f,vl_auc_a,vl_auc_c
2b9b9f09,eyepacs:train_multi_task,2020-03-30 11:28:58,1:33:09,terminated,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,,,,,,
9291867f,eyepacs:train_multi_task,2020-03-30 09:52:16,1:36:41,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.82225501537323,0.8199629783630371,0.6347609758377075,0.8752089738845825,0.8481600284576416
b183cd2f,eyepacs:train_multi_task,2020-03-30 08:56:39,0:55:36,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8374940156936646,0.7976409792900085,0.6758099794387817,0.8750990033149719,0.8768470287322998
baf24cbe,eyepacs:train_multi_task,2020-03-30 06:35:49,2:20:49,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8339589834213257,0.7843719720840454,0.6633419990539551,0.8701270222663879,0.8711090087890625
55ec7828,eyepacs:train_multi_task,2020-03-30 05:29:18,1:06:31,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8113309741020203,0.7912439703941345,0.6758099794387817,0.8487300276756287,0.8678609728813171
41ca8347,eyepacs:train_multi_task,2020-03-30 04:37:22,0:51:55,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.854341983795166,0.8264589905738831,0.6957610249519348,0.8853989839553833,0.8780890107154846
e7517591,eyepacs:train_multi_task,2020-03-30 02:33:01,2:04:21,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8482609987258911,0.8304479718208313,0.6932669878005981,0.8772630095481873,0.8694559931755066
db293567,eyepacs:train_multi_task,2020-03-30 00:28:45,2:04:16,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8427420258522034,0.8221439719200134,0.7032420039176941,0.8692110180854797,0.8707759976387024
5c02175e,eyepacs:train_multi_task,2020-03-30 00:28:44,,staged,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,,,,,,
86e0ef0e,eyepacs:train_multi_task,2020-03-30 00:28:44,,staged,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,,,,,,
b84a51b4,eyepacs:train_multi_task,2020-03-30 00:28:44,,staged,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,,,,,,
405b032e,eyepacs:train_multi_task,2020-03-30 00:28:44,,staged,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,,,,,,
9f7bbd7e,eyepacs:dr_grade_quality_multi_task,2020-03-30 00:28:43,12:33:22,terminated,,,,,,,,,,,,,,,,,,,0,0.82225501537323,0.8199629783630371,0.6347609758377075,0.8752089738845825,0.8481600284576416
a514f3c4,eyepacs:train_multi_task,2020-03-29 23:32:28,0:50:10,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8393290042877197,0.7974910140037537,0.6775820255279541,0.8837869763374329,0.8556069731712341
fd397900,eyepacs:dr_grade_quality_multi_task,2020-03-29 23:32:27,0:50:11,completed,,,,,,,,,,,,,,,,,,,0,0.8393290042877197,0.7974910140037537,0.6775820255279541,0.8837869763374329,0.8556069731712341
a69b7858,eyepacs:train_multi_task,2020-03-29 22:12:17,1:01:15,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd oversample=1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1 patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1,10,True,False,0,0.8244249820709229,0.8158000111579895,0.7599999904632568,0.8564010262489319,0.8291209936141968
abada96c,eyepacs:dr_grade_quality_multi_task,2020-03-29 22:12:16,1:01:16,completed,,,,,,,,,,,,,,,,,,,0,0.8244249820709229,0.8158000111579895,0.7599999904632568,0.8564010262489319,0.8291209936141968
0f4f8809,eyepacs:dr_grade_quality_multi_task_OS,2020-03-29 20:20:40,0:30:45,completed,,,,,,,,,,,,,,,,,,,0,0.8557339906692505,,,,
574b01a6,eyepacs:train_multi_task,2020-03-29 19:06:57,0:43:42,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,,10,True,False,0,0.8367559909820557,,,,
9f556255,eyepacs:train_multi_task,2020-03-29 18:45:50,0:21:07,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8365439772605896,,,,
8a9bb179,eyepacs:train_multi_task,2020-03-29 17:45:22,1:00:28,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,,10,True,False,0,0.8570780158042908,,,,
e4fd0367,eyepacs:train_multi_task,2020-03-29 17:21:38,0:23:43,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8564119935035706,,,,
cf29ad38,eyepacs:dr_grade_quality_multi_task,2020-03-29 17:21:37,2:29:02,completed,,,,,,,,,,,,,,,,,,,0,0.8367559909820557,,,,
aaf8c98a,eyepacs:train_multi_task,2020-03-29 11:18:21,2:23:32,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8213170170783997,,,,
f321c897,eyepacs:train_multi_task,2020-03-29 10:42:14,0:36:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8235480189323425,,,,
23bba69f,eyepacs:train_multi_task,2020-03-29 07:59:54,2:42:20,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8386449813842773,,,,
b4c1102f,eyepacs:train_multi_task,2020-03-29 07:10:04,0:49:49,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8448169827461243,,,,
8448c19b,eyepacs:train_multi_task,2020-03-29 05:33:09,1:36:54,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,,10,True,False,0,0.82225501537323,,,,
a9add875,eyepacs:train_multi_task,2020-03-29 04:37:13,0:55:56,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,,10,True,False,0,0.8374940156936646,,,,
f2d6a2f9,eyepacs:train_multi_task,2020-03-29 02:15:22,2:21:51,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8339589834213257,,,,
a1de9b4e,eyepacs:train_multi_task,2020-03-29 00:43:19,0:32:02,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8268870115280151,,,,
09b57ef8,eyepacs:train_multi_task,2020-03-28 23:51:00,0:52:18,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,,10,True,False,0,0.854341983795166,,,,
509bd60b,eyepacs:train_multi_task,2020-03-28 22:59:53,0:51:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8541060090065002,,,,
e631faf9,eyepacs:train_multi_task,2020-03-28 22:30:00,0:29:53,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,,10,True,False,0,0.8276339769363403,,,,
e6217d29,eyepacs:train_multi_task,2020-03-28 22:12:16,0:17:43,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8239349722862244,,,,
4c0e8f4c,eyepacs:train_multi_task,2020-03-28 21:21:12,0:51:04,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,,10,True,False,0,0.834613025188446,,,,
cf94ac9e,eyepacs:train_multi_task,2020-03-28 19:51:18,1:29:53,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8385279774665833,,,,
11644470,eyepacs:train_multi_task,2020-03-28 19:25:20,0:25:57,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,,10,True,False,0,0.8413220047950745,,,,
1d9d5e02,eyepacs:train_multi_task,2020-03-28 18:02:48,1:22:31,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,,10,True,False,0,0.8369969725608826,,,,
06c4f563,eyepacs:train_multi_task,2020-03-28 16:48:59,1:13:49,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8359010219573975,,,,
c886d21a,eyepacs:train_multi_task,2020-03-28 16:05:24,0:43:35,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,,10,True,False,0,0.8190169930458069,,,,
a0280e94,eyepacs:train_multi_task,2020-03-28 14:42:14,1:23:09,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,,10,True,False,0,0.8537870049476624,,,,
bb002ae8,eyepacs:train_multi_task,2020-03-28 13:30:53,1:11:20,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,,10,True,False,0,0.8558850288391113,,,,
b2362339,eyepacs:dr_grade_quality_multi_task,2020-03-28 13:30:52,23:11:01,completed,,,,,,,,,,,,,,,,,,,0,0.8213170170783997,,,,
